start-page,end-page,title,composer,reference
126,126,Love me tender,Elvis Presley,Django Fakebook 2008
127,127,Lover man,Davis Ramirez & Sherman,Django Fakebook 2008
128,128,Lulu swing,Lulu Reinhardt,Django Fakebook 2008
129,129,Manah manah,Piero Umilani,Django Fakebook 2008
130,130,Man I love,Gershwin,Django Fakebook 2008
131,131,Manoir de mes reves,Django,Django Fakebook 2008
132,132,Ma premiere guitare,Sasha Distel,Django Fakebook 2008
133,133,Marie,Irving Berlin,Django Fakebook 2008
134,134,Melodie au Crepuscule,Django,Django Fakebook 2008
135,135,Menilmontant,Charles Trenet,Django Fakebook 2008
136,136,Micro,Django,Django Fakebook 2008
137,137,Midnight in Moscow,Sedoy & Matusovsky,Django Fakebook 2008
138,138,Milko,Titi Winterstein,Django Fakebook 2008
139,139,Mimosa,Schmitt & Winterstein,Django Fakebook 2008
140,140,Minor Swing,Django,Django Fakebook 2008
141,141,Mister Sandman,Pat Ballard,Django Fakebook 2008
142,142,Mon Dieu,Vaucaire & Dumont,Django Fakebook 2008
143,144,Montagne Ste-Genevieve,Django,Django Fakebook 2008
145,146,Muppet Show theme,Pottle & Henson,Django Fakebook 2008
147,147,My blue heaven,Donaldson,Django Fakebook 2008
148,148,My melancholy baby,Burnett & Norton,Django Fakebook 2008
149,150,Mysterieuse,Jo Privat,Django Fakebook 2008
151,151,Ne me quitte pas,Jacques Brel,Django Fakebook 2008
152,153,Night and day,Cole Porter,Django Fakebook 2008
154,154,Noto swing,Lulu Reinhardt,Django Fakebook 2008
155,155,Nuages,Django,Django Fakebook 2008
156,156,Nuits de Ste-Germain des Pres,Django,Django Fakebook 2008
157,157,Oriental shuffle,Django,Django Fakebook 2008
158,158,"Ou es-tu, mon amour?",Emil Stern,Django Fakebook 2008
159,159,Out of nowhere,Green & Heyman,Django Fakebook 2008
160,161,Padam...padam,Glanzberg & Content,Django Fakebook 2008
162,163,Panique,Pierre Ferret,Django Fakebook 2008
164,165,Passion,Tony Murena,Django Fakebook 2008
166,166,Peche a la mouche,Django,Django Fakebook 2008
167,168,Penguin,Raymond Scott,Django Fakebook 2008
169,169,Pennies from heaven,Johnson & Burke,Django Fakebook 2008
170,171,Petite fleur,Sidney Bechet,Django Fakebook 2008
172,172,Place de Brouckere,Django,Django Fakebook 2008
173,174,Powerhouse,Raymond Scott,Django Fakebook 2008
175,175,Quand refleuriront les lilas blancs,Franz Doelle,Django Fakebook 2008
176,177,Que reste-t-il de nos amours,Leo Chailiac,Django Fakebook 2008
178,178,Rose room,Williams & Hickman,Django Fakebook 2008
179,179,Rosetta,Earl Hines,Django Fakebook 2008
180,180,Russian lullaby,Irving Berlin,Django Fakebook 2008
181,181,R vingt-six,Django,Django Fakebook 2008
182,182,September song,Kurt Weill,Django Fakebook 2008
183,183,Seul ce soir,Durand Cassanova & Grosjean,Django Fakebook 2008
184,184,Sheik of Araby,Smith Wheeler & Snyder,Django Fakebook 2008
185,185,Shine,Mack Brown & Dabney,Django Fakebook 2008
186,187,"Sing, sing, sing",Louis Prima,Django Fakebook 2008
188,188,Si tu savais,Georges Ulmer,Django Fakebook 2008
189,189,Smile,Charles Chaplin,Django Fakebook 2008
190,190,Somebody loves me,Georges Gershwin,Django Fakebook 2008
191,191,Someone's rocking my dreamboat,Rene & Scott,Django Fakebook 2008
192,192,Somewhere over the rainbow,Harold Arlen,Django Fakebook 2008
193,193,Songe d'Automne,Archibald Joyce,Django Fakebook 2008
194,195,Sous le ciel de Paris,Hubert Giraud,Django Fakebook 2008
196,197,Spivy,Django,Django Fakebook 2008
198,198,Stompin' at Decca,Grappelli & Django,Django Fakebook 2008
199,199,Stranger in paradise,Wright & Forrest,Django Fakebook 2008
200,200,Stumbling,Zez Confrey,Django Fakebook 2008
201,201,Svetlana,Boulou Ferre,Django Fakebook 2008
202,202,Sweet Georgia Brown,Pinkard & Casey,Django Fakebook 2008
203,203,Sweet Sue,Victor Young,Django Fakebook 2008
204,204,Swing 39 (guitar),Django,Django Fakebook 2008
205,205,Swing 39 (violin),Django,Django Fakebook 2008
206,206,Swing 42,Django,Django Fakebook 2008
